                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 37.054,                      0,                0.00074,                0.05581,                0.00047,                0.00014,                      0,                 74.331,                      0,                0.00038,                0.00038,                0.00038
                      2,                      0,                 31.321,                      0,                0.00049,                0.03721,                 0.0004,                0.00011,                      0,                 71.089,                      0,             0.00077228,             0.00077228,             0.00077228
                      3,                      0,                 26.182,                      0,                0.00052,                0.03953,                0.00036,                  9e-05,                      0,                 47.362,                      0,              0.0011566,              0.0011566,              0.0011566
                      4,                      0,                 24.215,                      0,                0.00056,                 0.0186,                0.00039,                  8e-05,                      0,                 29.101,                      0,              0.0015331,              0.0015331,              0.0015331
                      5,                      0,                 22.934,                      0,                0.00069,                0.02093,                0.00046,                  9e-05,                      0,                 21.588,                      0,              0.0019016,              0.0019016,              0.0019016
                      6,                      0,                 21.612,                      0,                0.00071,                0.02093,                0.00046,                  8e-05,                      0,                 25.317,                      0,               0.001901,               0.001901,               0.001901
