                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    146,                0.83328,                 0.5313,                  1.033,                0.83482,                0.80574,                0.84666,                0.45037,                 1.6588,                0.93817,                 1.5506,              0.0005645,              0.0005645,              0.0005645
                    147,                0.86138,                0.54417,                 1.0611,                 0.8385,                0.78986,                0.84452,                0.44702,                 1.6854,                0.93663,                 1.5707,              0.0005546,              0.0005546,              0.0005546
                    148,                0.79517,                0.50872,                 1.0156,                0.81941,                0.79348,                0.84234,                0.45022,                 1.6925,                0.94527,                  1.572,              0.0005447,              0.0005447,              0.0005447
                    149,                0.83418,                0.51843,                 1.0342,                0.83195,                0.78926,                0.84268,                0.45172,                 1.6824,                0.94833,                  1.575,              0.0005348,              0.0005348,              0.0005348
                    150,                0.84149,                0.52724,                 1.0448,                0.83002,                0.79616,                0.84538,                0.44922,                 1.6818,                0.94315,                 1.5809,              0.0005249,              0.0005249,              0.0005249
                    151,                0.84517,                0.52185,                 1.0542,                0.78811,                 0.7951,                0.83495,                0.44631,                 1.6567,                0.96138,                 1.5728,               0.000515,               0.000515,               0.000515
                    152,                0.80586,                0.49609,                 1.0328,                0.79575,                0.78261,                0.82983,                0.45128,                 1.6529,                 0.9866,                 1.5585,              0.0005051,              0.0005051,              0.0005051
                    153,                0.83806,                0.52001,                 1.0434,                0.83157,                0.74638,                0.83367,                0.44609,                 1.6618,                 1.0146,                 1.5483,              0.0004952,              0.0004952,              0.0004952
                    154,                0.83416,                0.53778,                 1.0522,                0.82074,                0.77969,                0.83639,                0.45026,                 1.6589,                 0.9977,                 1.5465,              0.0004853,              0.0004853,              0.0004853
                    155,                0.78864,                0.49442,                 1.0242,                0.88127,                0.75303,                0.84982,                0.44431,                 1.6795,                0.96803,                 1.5656,              0.0004754,              0.0004754,              0.0004754
                    156,                0.81356,                0.52714,                 1.0443,                0.86644,                0.75216,                0.84701,                 0.4435,                 1.6817,                0.95782,                 1.5756,              0.0004655,              0.0004655,              0.0004655
                    157,                0.81633,                0.50151,                 1.0439,                0.87364,                0.76449,                0.85254,                0.44393,                 1.6913,                0.94623,                 1.5867,              0.0004556,              0.0004556,              0.0004556
                    158,                0.80177,                 0.4944,                 1.0314,                0.86465,                0.76449,                0.84995,                0.44121,                   1.69,                0.93992,                 1.5897,              0.0004457,              0.0004457,              0.0004457
                    159,                0.82854,                0.52333,                  1.055,                0.87051,                0.75509,                0.84687,                0.44014,                  1.682,                0.95284,                 1.5881,              0.0004358,              0.0004358,              0.0004358
                    160,                0.76593,                0.48196,                  1.004,                0.89782,                0.73913,                0.84386,                0.44771,                 1.6825,                0.96559,                 1.5915,              0.0004259,              0.0004259,              0.0004259
                    161,                0.79459,                0.50246,                 1.0072,                0.88226,                0.76087,                0.84232,                 0.4467,                 1.6837,                0.95813,                 1.5909,               0.000416,               0.000416,               0.000416
                    162,                 0.8064,                0.50074,                 1.0279,                0.84501,                0.75064,                0.83917,                0.44879,                 1.6541,                0.96756,                 1.5435,              0.0004061,              0.0004061,              0.0004061
                    163,                0.77091,                0.47892,                 1.0151,                0.84263,                   0.75,                0.83524,                0.44947,                 1.6447,                0.97189,                 1.5356,              0.0003962,              0.0003962,              0.0003962
                    164,                0.79471,                0.50822,                 1.0373,                0.82709,                0.74525,                  0.833,                0.45242,                 1.6445,                0.98006,                 1.5471,              0.0003863,              0.0003863,              0.0003863
                    165,                0.82554,                0.51487,                 1.0276,                0.79785,                0.75792,                0.81764,                0.44525,                 1.6544,                0.97849,                 1.5617,              0.0003764,              0.0003764,              0.0003764
                    166,                0.80563,                0.50637,                 1.0377,                0.82275,                0.77174,                0.81991,                0.44149,                 1.6462,                0.98803,                 1.5578,              0.0003665,              0.0003665,              0.0003665
                    167,                0.75253,                0.49522,                0.99862,                0.82285,                0.77417,                0.82127,                 0.4413,                 1.6498,                0.99139,                  1.559,              0.0003566,              0.0003566,              0.0003566
                    168,                0.76419,                0.47953,                 1.0266,                0.85754,                0.75725,                0.82922,                0.43931,                 1.6584,                0.96024,                 1.5732,              0.0003467,              0.0003467,              0.0003467
                    169,                0.77017,                0.49638,                 1.0055,                0.84242,                   0.75,                0.82554,                0.43921,                 1.6672,                0.96641,                 1.5774,              0.0003368,              0.0003368,              0.0003368
                    170,                 0.7728,                0.47799,                0.99194,                0.85189,                 0.7502,                0.82623,                0.44162,                 1.6684,                0.95813,                 1.5827,              0.0003269,              0.0003269,              0.0003269
                    171,                0.78758,                0.49792,                 1.0181,                0.88003,                0.73913,                0.83115,                 0.4419,                 1.6709,                0.93852,                  1.588,               0.000317,               0.000317,               0.000317
                    172,                 0.7945,                0.51832,                  1.028,                0.82913,                0.78623,                0.83275,                0.44251,                 1.6742,                0.92193,                 1.5889,              0.0003071,              0.0003071,              0.0003071
                    173,                0.76494,                0.48638,                 1.0212,                0.84272,                0.77174,                0.83036,                0.43746,                 1.6779,                0.92029,                  1.587,              0.0002972,              0.0002972,              0.0002972
                    174,                0.77008,                0.49413,                 1.0268,                0.85349,                0.77536,                 0.8282,                0.43572,                 1.6887,                 0.9143,                 1.5993,              0.0002873,              0.0002873,              0.0002873
                    175,                0.77247,                0.47719,                 1.0167,                0.84455,                0.76812,                0.82325,                0.43838,                 1.6755,                0.90981,                 1.5974,              0.0002774,              0.0002774,              0.0002774
                    176,                0.76821,                 0.4886,                 1.0179,                 0.8429,                0.75362,                0.81754,                0.44103,                 1.6722,                0.90414,                 1.6058,              0.0002675,              0.0002675,              0.0002675
                    177,                0.73955,                0.47069,                0.99036,                0.84087,                0.74667,                0.82412,                0.44169,                 1.6718,                0.90579,                 1.6183,              0.0002576,              0.0002576,              0.0002576
                    178,                 0.7504,                0.46126,                 1.0164,                0.80933,                0.78437,                0.82554,                0.43664,                 1.6765,                0.90731,                  1.626,              0.0002477,              0.0002477,              0.0002477
                    179,                0.73704,                0.47103,                  0.999,                0.84831,                0.76994,                0.83866,                0.43648,                 1.6864,                0.91703,                 1.6211,              0.0002378,              0.0002378,              0.0002378
                    180,                0.76605,                0.47432,                 1.0214,                0.84089,                0.76595,                0.84112,                0.43477,                 1.6821,                 0.9259,                 1.6015,              0.0002279,              0.0002279,              0.0002279
                    181,                0.72968,                0.45018,                0.98627,                0.82943,                 0.7752,                0.83777,                0.43634,                 1.6774,                0.93277,                 1.5855,               0.000218,               0.000218,               0.000218
                    182,                0.76643,                0.47694,                 1.0021,                0.85498,                0.76087,                0.83689,                0.43863,                 1.6739,                0.93444,                 1.5787,              0.0002081,              0.0002081,              0.0002081
                    183,                  0.735,                0.46418,                 1.0075,                0.85392,                0.76449,                0.84279,                0.44634,                 1.6711,                0.94537,                 1.5704,              0.0001982,              0.0001982,              0.0001982
                    184,                0.75911,                0.48559,                 1.0302,                0.83091,                0.78341,                0.85124,                 0.4477,                 1.6714,                0.93261,                 1.5794,              0.0001883,              0.0001883,              0.0001883
                    185,                0.71257,                 0.4462,                0.98666,                0.89224,                0.73551,                  0.852,                0.44759,                 1.6716,                0.91693,                 1.5901,              0.0001784,              0.0001784,              0.0001784
                    186,                0.74291,                0.45899,                 1.0176,                0.86293,                0.77536,                0.85663,                 0.4518,                 1.6721,                0.92715,                 1.5951,              0.0001685,              0.0001685,              0.0001685
                    187,                 0.7145,                0.45075,                0.97237,                0.86073,                0.76812,                 0.8524,                0.44676,                 1.6772,                 0.9243,                 1.6045,              0.0001586,              0.0001586,              0.0001586
                    188,                0.73062,                 0.4564,                 1.0004,                0.87474,                0.75362,                0.85126,                 0.4445,                 1.6822,                0.92664,                 1.6122,              0.0001487,              0.0001487,              0.0001487
                    189,                0.71226,                0.44863,                0.99233,                0.88038,                0.74275,                0.84724,                0.44584,                 1.6889,                0.92548,                 1.6221,              0.0001388,              0.0001388,              0.0001388
                    190,                0.73492,                0.47897,                 1.0001,                0.86321,                0.75454,                0.84248,                0.44766,                 1.6845,                  0.934,                 1.6109,              0.0001289,              0.0001289,              0.0001289
                    191,                0.61565,                0.36811,                0.92602,                0.87393,                0.75352,                0.84057,                0.44467,                 1.6835,                0.92476,                 1.6098,               0.000119,               0.000119,               0.000119
                    192,                0.67166,                0.41146,                0.94771,                0.87385,                0.75296,                0.84025,                0.43756,                 1.6852,                0.91925,                  1.613,              0.0001091,              0.0001091,              0.0001091
                    193,                0.65044,                  0.397,                0.92902,                0.85046,                0.75725,                0.83701,                0.43826,                 1.6857,                0.91815,                 1.6115,               9.92e-05,               9.92e-05,               9.92e-05
                    194,                  0.616,                 0.3897,                0.93048,                0.79444,                0.78986,                0.83162,                0.43253,                 1.6818,                0.92008,                 1.6022,               8.93e-05,               8.93e-05,               8.93e-05
                    195,                0.64125,                 0.3829,                0.93315,                0.82049,                0.77837,                0.83282,                 0.4365,                 1.6811,                0.92639,                 1.5999,               7.94e-05,               7.94e-05,               7.94e-05
                    196,                0.63864,                 0.3949,                 0.9249,                 0.8519,                   0.75,                 0.8308,                0.43413,                 1.6848,                0.92993,                 1.6026,               6.95e-05,               6.95e-05,               6.95e-05
                    197,                0.57669,                0.35379,                0.88587,                0.85717,                0.75362,                0.83205,                0.43526,                 1.6862,                0.93321,                 1.5994,               5.96e-05,               5.96e-05,               5.96e-05
                    198,                0.59164,                0.36272,                0.90305,                0.85867,                0.74846,                0.83504,                0.43835,                 1.6869,                0.92876,                 1.6025,               4.97e-05,               4.97e-05,               4.97e-05
                    199,                0.61774,                0.38136,                0.90848,                0.83319,                0.76087,                 0.8362,                0.43944,                 1.6938,                0.93512,                 1.6108,               3.98e-05,               3.98e-05,               3.98e-05
                    200,                 0.6321,                0.38449,                0.92504,                0.83662,                0.76087,                0.83618,                0.43751,                 1.6953,                 0.9368,                 1.6111,               2.99e-05,               2.99e-05,               2.99e-05
