                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4072,                 1.0783,                 1.3488,                0.80883,                0.67448,                0.76201,                0.38937,                 1.6902,                 1.2428,                 1.5116,              0.0016733,              0.0016733,              0.0016733
                     35,                 1.4064,                 1.0311,                 1.3404,                0.81922,                0.65674,                0.77465,                0.38664,                 1.6743,                 1.2636,                 1.4976,              0.0016634,              0.0016634,              0.0016634
                     36,                 1.3957,                 1.0376,                 1.3265,                0.81116,                0.70652,                0.79561,                0.40864,                 1.6591,                  1.194,                 1.4828,              0.0016535,              0.0016535,              0.0016535
                     37,                 1.3373,                0.97422,                 1.2691,                0.83405,                0.69198,                0.79567,                0.41591,                 1.6441,                 1.1893,                 1.4748,              0.0016436,              0.0016436,              0.0016436
                     38,                 1.3411,                0.94231,                  1.294,                0.75986,                0.72101,                0.77278,                0.39942,                 1.6893,                 1.2171,                 1.4922,              0.0016337,              0.0016337,              0.0016337
                     39,                 1.3449,                0.97816,                 1.3104,                0.78562,                0.68478,                0.76076,                0.39015,                 1.6832,                 1.2274,                 1.4972,              0.0016238,              0.0016238,              0.0016238
                     40,                  1.324,                0.98612,                  1.295,                0.82206,                0.63608,                0.74775,                0.37272,                 1.7564,                 1.2993,                 1.5478,              0.0016139,              0.0016139,              0.0016139
                     41,                 1.3779,                 1.0011,                 1.3059,                0.78092,                0.67391,                0.75619,                0.38113,                  1.739,                 1.3114,                 1.5277,               0.001604,               0.001604,               0.001604
                     42,                 1.3395,                0.95513,                 1.2849,                0.79978,                0.67029,                 0.7674,                0.38315,                 1.7636,                 1.2488,                 1.5443,              0.0015941,              0.0015941,              0.0015941
                     43,                  1.336,                0.98999,                  1.321,                0.83482,                0.64855,                0.75099,                0.37448,                   1.79,                 1.2586,                 1.6035,              0.0015842,              0.0015842,              0.0015842
                     44,                 1.3249,                0.96588,                 1.2944,                0.74902,                0.67039,                0.72142,                0.35218,                 1.8018,                 1.2971,                 1.6263,              0.0015743,              0.0015743,              0.0015743
                     45,                 1.2388,                0.92172,                 1.2626,                0.74027,                0.67754,                0.74671,                0.37506,                 1.7513,                 1.3154,                 1.5789,              0.0015644,              0.0015644,              0.0015644
                     46,                  1.288,                0.91985,                 1.2656,                0.72598,                0.64493,                0.72689,                 0.3767,                 1.7234,                 1.3315,                 1.5417,              0.0015545,              0.0015545,              0.0015545
                     47,                 1.2678,                0.88413,                 1.2593,                0.74672,                0.67296,                0.73747,                0.39437,                 1.6618,                 1.2876,                 1.4996,              0.0015446,              0.0015446,              0.0015446
                     48,                 1.2816,                0.88918,                 1.2704,                0.75361,                0.69203,                0.75218,                0.39729,                 1.6985,                 1.2517,                 1.5045,              0.0015347,              0.0015347,              0.0015347
                     49,                 1.2701,                0.88203,                 1.2444,                0.77868,                0.66667,                0.76451,                0.39234,                 1.7065,                 1.1897,                 1.5256,              0.0015248,              0.0015248,              0.0015248
                     50,                 1.2733,                 0.8877,                  1.245,                0.85119,                0.62681,                 0.7654,                0.38649,                 1.7164,                 1.2112,                 1.5194,              0.0015149,              0.0015149,              0.0015149
                     51,                  1.272,                 0.8808,                 1.2485,                0.79663,                 0.7029,                0.77415,                0.37927,                 1.7134,                  1.215,                 1.5448,               0.001505,               0.001505,               0.001505
                     52,                 1.2285,                0.85229,                 1.2556,                0.76901,                0.72101,                0.77523,                0.37997,                  1.718,                 1.1632,                 1.5548,              0.0014951,              0.0014951,              0.0014951
                     53,                 1.2342,                0.83454,                 1.2402,                0.77249,                0.65217,                0.73374,                 0.3764,                 1.7419,                 1.2796,                 1.5587,              0.0014852,              0.0014852,              0.0014852
                     54,                 1.2322,                0.86517,                 1.2658,                0.77549,                0.63768,                0.72681,                0.37763,                 1.7222,                  1.288,                 1.5511,              0.0014753,              0.0014753,              0.0014753
                     55,                 1.2874,                0.90653,                 1.2829,                0.72404,                0.74148,                0.76042,                 0.3796,                 1.7325,                 1.2075,                 1.5456,              0.0014654,              0.0014654,              0.0014654
